,,,,,,,,,,Состояния,Входной Байт,,,
,0xAA,,,,,,,,,,0xAA,0xBB,Type,Other
,,,,,,,,,,S0,S1,S0,S0,S0
,,,,,,,,,,S1,S0 (Error),S0 (Error),"S2 (запоминаем
В переменную)",S0 (Error)
,,,,,,,,,,S2,"S3 (запоминаем
В переменную)","S3 (запоминаем
В переменную)","S3 (запоминаем
В переменную)","S3 (запоминаем
В переменную)"
,,,,,,,,,,S3,S0 (Error),"Sesc (кладем в стек
S4 состояние)",S4,S4
,,,,,,,,,,S4,S0 (Error),"Sesc (кладем в стек
S5 состояние)",S5,S5
,,,,,,,,,,S5,"S0 (Succes,
Вызываем обработчик
По сохранненому type","Sesc (кладем в стек
S5 состояние)",S5 (накапливаем),S5 (накапливаем)
,,,,,,,,,,Sesc,"Переходим на состояние
Из стека (накапливаем)","Переходим на состояние
Из стека (накапливаем)",S0 (Error),SO (Error)
